respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.12,0.41
26708,0.05,0.09
26709,0.48,0.78
26710,0.55,0.9
26711,0.2,0.54
26712,0.62,0.89
26713,0.44,0.62
26714,0.12,0.15
26715,0.04,0.07
26716,0.11,0.82
26717,0.07,0.45
26718,0.24,0.46
26719,0.08,0.86
26720,0.04,0.2
26721,0.29,0.5
26722,0.08,0.13
26723,0.6,0.9
26724,0.07,0.76
26725,0.04,0.07
26726,0.12,0.07
26727,0.32,0.82
26728,0.16,0.56
26729,0.32,0.52
26730,0.11,0.25
26731,0.05,0.34
26732,0.15,0.25
26733,0.82,0.89
26734,0.55,0.47
26735,0.19,0.48
26736,0.01,0.14
26737,0.01,0.14
26738,0.63,0.78
26739,0.06,0.21
26740,0.16,0.19
26741,0.26,0.88
26742,0.02,0.36
26743,0.06,0.38
26744,0.11,0.75
26745,0.13,0.87
26746,0.13,0.22
26747,0.06,0.16
26748,0.1,0.12
26749,0.1,0.46
26750,0.69,0.94
26751,0.42,0.84
26752,0.05,0.2
26753,0.11,0.41
26754,0.25,0.52
26755,0.14,0.43
26756,0.01,0.05
26757,0.39,0.42
26758,0.57,0.76
26759,0.01,0.14
26760,0.07,0.14
26761,0.38,0.64
26762,0.26,0.67
26763,0.63,0.91
26764,0.69,0.89
26765,0.27,0.53
26766,0.08,0.17
26767,0.75,0.69
26768,0.12,0.53
26769,0.18,0.28
26770,0.2,0.52
26771,0.11,0.35
26772,0.05,0.52
26773,0.14,0.36
26774,0.25,0.43
26775,0.06,0.47
26776,0.38,0.43
26777,0.09,0.61
26778,0.16,0.09
26779,0.18,0.61
26780,0.26,0.87
26781,0.15,0.4
26782,0.05,0.24
26783,0.04,0.21
26784,0.49,0.84
26785,0.31,0.72
26786,0.12,0.24
26787,0.07,0.49
26788,0.13,0.85
26789,0.1,0.17
26790,0.07,0.16
26791,0.1,0.06
26792,0.13,0.66
26793,0.16,0.93
26794,0.69,0.83
26795,0.22,0.83
26796,0.01,0.07
26797,0.22,0.52
26798,0.36,0.34
26799,0.39,0.34
26800,0.09,0.89
26801,0.19,0.34
26802,0.05,0.22
26803,0.06,0.1
26804,0.06,0.1
26805,0.14,0.11
26806,0.1,0.86
26807,0.63,0.86
26808,0.2,0.45
26809,0.41,0.25
26810,0.07,0.07
26811,0.05,0.16
26812,0.19,0.79
26813,0.31,0.47
26814,0.03,0.7
26815,0.0,0.01
26816,0.15,0.26
26817,0.08,0.69
26818,0.1,0.26
26819,0.27,0.42
26820,0.08,0.16
26821,0.12,0.5
26822,0.22,0.66
26823,0.18,0.39
26824,0.1,0.68
26825,0.33,0.66
26826,0.1,0.78
26827,0.04,0.09
26828,0.17,0.39
26829,0.56,0.98
26830,0.09,0.7
26831,0.36,0.86
26832,0.13,0.89
26833,0.12,0.43
26834,0.37,0.5
26835,0.67,0.82
26836,0.21,0.76
26837,0.11,0.06
26838,0.08,0.51
26839,0.24,0.44
26840,0.07,0.11
26841,0.43,0.81
26842,0.04,0.1
26843,0.09,0.06
26844,0.11,0.34
26845,0.08,0.65
26846,0.09,0.82
26847,0.19,0.23
26848,0.13,0.76
26849,0.36,0.48
26850,0.55,0.68
26851,0.03,0.07
26852,0.01,0.12
26853,0.33,0.62
26854,0.06,0.09
26855,0.45,0.89
26856,0.19,0.19
26857,0.33,0.2
26858,0.2,0.54
26859,0.03,0.11
26860,0.21,0.25
26861,0.11,0.14
26862,0.06,0.35
26863,0.17,0.44
26864,0.36,0.44
26865,0.07,0.04
26866,0.14,0.62
26867,0.17,0.27
26868,0.63,0.78
26869,0.08,0.33
26870,0.6,0.89
26871,0.04,0.03
26872,0.18,0.38
26873,0.17,0.73
26874,0.07,0.06
26875,0.62,0.78
26876,0.08,0.18
26877,0.11,0.23
26878,0.13,0.22
26879,0.03,0.01
26880,0.07,0.15
26881,0.01,0.1
26882,0.02,0.07
26883,0.1,0.14
26884,0.06,0.15
26885,0.1,0.57
26886,0.16,0.84
26887,0.46,0.83
26888,0.88,0.9
26889,0.04,0.11
26890,0.2,0.63
26891,0.34,0.61
26892,0.23,0.63
26893,0.05,0.13
26894,0.19,0.23
26895,0.08,0.8
26896,0.01,0.04
26897,0.05,0.44
26898,0.27,0.5
26899,0.03,0.07
26900,0.06,0.16
26901,0.11,0.52
26902,0.29,0.88
26903,0.15,0.18
26904,0.04,0.4
26905,0.47,0.82
26906,0.02,0.48
26907,0.03,0.58
26908,0.19,0.83
26909,0.21,0.26
26910,0.18,0.42
26911,0.07,0.09
26912,0.33,0.71
26913,0.76,0.87
26914,0.03,0.11
26915,0.22,0.6
26916,0.28,0.18
